vendor_id,vendor_name,vendor_name_normalized,states_served,gstin_optional,pan_optional,active,notes,last_updated
VEND-59C44BBC65A6,Mehul Vasan Bhandar,mehul vasan bhandar,Gujarat,,,Y,,2026-09-11
VEND-4EC18E1C2633,M.P. Computer & Electronics,m p computer electronics,Madhya Pradesh,23AQNPS2772A1ZW,,Y,,2026-09-11
VEND-F817ECC50FDD,Computer Vision,computer vision,Madhya Pradesh,23AFHPC5017R1ZE,,Y,,2026-09-11
VEND-A091EBFF28FC,Computer Bazar,computer bazar,Madhya Pradesh,23ACGPJ7286B1ZS,,Y,,2026-09-11
VEND-E378C6296DD7,ASE Enterprise,ase enterprise,Gujarat,,,Y,Historical proposed L1 for office staff bag; quantity/rate not recoverable from saved CPC evidence; not a benchmark record.,2026-09-11
VEND-F800A262E809,"Shriram Agro Traders, Nandurbar",shriram agro traders nandurbar,Maharashtra,,,Y,"Quoted ₹3,150/unit inclusive of transportation and GST in PC comparative sheet dated Aug 2026.",2026-09-11
VEND-B5DDA9F49FA7,OM Agro Agency,om agro agency,Maharashtra,,,Y,"Quoted ₹3,500/unit inclusive of transportation and GST in PC comparative sheet dated Aug 2026.",2026-09-11
VEND-DD46FB00D6D0,Sonal Krushi Seva Kendra,sonal krushi seva kendra,Maharashtra,,,Y,"Quoted ₹3,500/unit inclusive of transportation and GST in PC comparative sheet dated Aug 2026.",2026-09-11
VEND-6389582E0882,Pandurang Agro Agency,pandurang agro agency,Maharashtra,,,Y,"Quoted ₹3,400/unit inclusive of transportation and GST in PC comparative sheet dated Aug 2026.",2026-09-11
VEND-A4722DA8D4F5,Masand Sprayers Pvt Ltd,masand sprayers pvt ltd,Maharashtra,23AAOCM0157H1ZK,AAOCM0157H,Y,"Indore vendor; L1 after CPC-requested market recheck. PI No. 18 documents ₹1,670/unit for Masand Pearl sprayer.",2026-09-11
